,Text,Label
0,#BadBunny: Como dos gotas de agua: Joven se disfraza de Bad Bunny y causa tumulto en alfombra roja. https://t.co/3524SEangh,negative
2,"Good MEWning ♥️🐼♥️
Un nuevo amanecer,un nuevo día,un nuevo desafío, pronto volarás a COREA 🙏♥️, feliz con usted Señor MEW SUPPASIT, vas ampliando tu horizonte la meta es el infinito ♥️🐼🙏💪💯🌞

MEW SUPPASIT ❤️🐼♥️
#มิวศุภศิษฏ์ 
@MSuppasit 
#MewSuppasit https://t.co/pW8r5vKIpq",positive
4,"@isiupdates Pantera 
#IsiVives #IsiVivesCHILE #KCAMexico",positive
5,"Os quiero recordar y hacer saber a los que aún no tenéis conocimiento de ello, que en Andalucía se encuentra la principal empresa de juguetes sexuales de España, se llama Dream Love, ahí lo dejo...y muy a mí pesar. 😁😏",positive
7,@Fergus0055 No sería porque los tóxicos de xbox y hasta su misma prensa de xbox desinformaba diciendo que kojima se unía a xbox? Que no se notaba la mala intención en esas palabras pero si tu miras a donde te conviene..,positive
13,me da igual las canciones que añadan mientras no quiten mi princesa star lost,negative
20,"Que se va la hora con todo lo que hay que hacer por aquí, pero no me olvido, vamos que nos quedan aún por aprender cosas muy muy muy! Venga, que tenemos curiosidad y ganas! 💜
#DiaInternacionalDeLasPymes #PyMEsDigitales #pymes #MIPYMES #innovation #Trending #Tendencias #HoldOn https://t.co/XbI2yNvamG",positive
21,lo lindo q sería escuchar merry bad ending en uno de esos conciertos /cry,negative
23,QUESTION TE AMO,negative
25,"@94tomlinsonn Daydreaming, From the Dining Table, Perfect Now(no me funen&lt;/3) Music For a Sushi Restaurant y Little Freak 

la verdad es que pagaría por todas las canciones 10 minutes version de mis favs",positive
28,@dannapozoss @BadBunnytwetts esq no hay bad bunny sin bacacho,negative
31,"Como dijo bad bunny: “pero dale easy que sabes que soy pisci y enamorarme es bien fácil, pero olvidarme es difícilll”",negative
39,WOLFGANG?? QUESTION?????????? YO ME MUEROOOOO,negative
40,"Miguel Ángel Rodríguez Cobos, Global Head of Innovation en #MAPFRE, estará en #DIAAMS 2022, el gran evento sobre #insurtech a nivel global. ¡Os esperamos! #DIAlogue

📅 Miércoles, 29 de junio

Más info 👉https://t.co/uMZ4SxinQ8 https://t.co/YbmHVFSHVo",positive
41,"Como amo best of me bro, de verdad es mi canción chau",positive
43,"Good Smile Company anunció el re-lanzamiento de la figura de la línea POP UP PARADE basada en la diosa Aqua del anime ""Kono Subarashii Sekai ni Shukufuku wo! (KonoSuba!)"", Mide 185 mm y tendrá un precio de 4,800 yenes, para noviembre de 2022. 
#konosuba #goodsmile https://t.co/TPnAfuIbVR",positive
56,"@VMPPV La leyenda viviente y capitán Yandel, los extraterrestres, el dúo de la historoa, el dream team, los vaqueros",positive
65,"el anterior sin nadie y este 4 de julio estoy igual, lo siento bad bunny te he fallado",negative
76,bad da porra mano,negative
77,@lalisabstdancer JAJAJAJAJJAJAJAJJAJAJAJAJJA,positive
79,"Los estudiantes de la BUAP Valeria Medina Ramírez y Marco Antonio Rodríguez Ríos obtuvieron la Beca Santander Explorer, para asistir en julio próximo a la European Innovation Academy, en Oporto, Portugal.

https://t.co/HDuDddR3cL",positive
84,m quiero tipo chapar a bad bunny,negative
85,y pa enamorarme me dijo que le gustaba Bad Bunny más que a mi🤧😍,negative
86,lo prejuzgadora que soy ahora estoy obsesionada con dreams come true aespa ver y cuando salio me NEGABA a escucharla anda a saber porque pero bueno la gente crece🤩🤩,positive
89,"@DiegoAcuOficial El problem no es s,salen cosas dlictivas dl ignorant y nadie hace nada solo los q' scribimos destacamos eso, sin considerar los q' lo defienden, pero el resto nada d nada, la gent ha ncontrado a alguien igual a todos los q' fraguan y engañan, es normal para ellos x eso no podemos",negative
90,"Un placer escuchar a @juliomayol sobre innovación y generación de valor en salud en @UIMP. Grandes reflexiones....
#UIMP #Seguridad #innovation 
@jltb59 @meriorof https://t.co/AHZzYbmHx4",positive
95,como no voy a conseguir entradas para bad bunny🥺,negative
98,"@juanonjuan10 @ChelaESPNcommx ¿Por qué no invitas a 𝗗𝗲𝘃𝗶𝗻 𝗕𝗼𝗼𝗸𝗲𝗿 𝗚𝘂𝘁𝗶𝗲́𝗿𝗿𝗲𝘇 a la Selección Mexicana? 
SU MADRE ES MEXICANA y, NO CREO QUE LO INVITEN AL ""DREAM TEAM"".
https://t.co/hEiLeS4eg2",positive
108,we lost the summer no te valoramos lo suficiente como sociedad,negative
118,"@vergara_raydel @EmmaRincon Este señor de la tercera edad con cognitive problems, de verdad no sé a quien se le ocurrió",negative
128,q cobarde no querer luchar x la persona q te hace brillar los ojos dijo bad bunny,negative
130,@chenlovestooru NZHDKZBSI INCREDIBLE,positive
132,Tengo una combinación de Needy y Bad bunny en mi cabeza.,negative
140,con la mala suerte que tenemos nos toca ver una pelea con star lost de fondo o algo asi mientras todas las otras lloramos,negative
141,"‼️El autor de la saga ""Wolf Pack"" comenzó a seguir la cuenta‼️

Thank you very much @EdovanBelkom so excited to see the serie! 🐺 https://t.co/i5pRvBpBPn",positive
144,"Bad Bad News , si te gusta eres mi pana 🎸
https://t.co/cIKIjxcIUc",negative
147,@simon_schama @DavidHeadViews Incredible testimony…,positive
148,CANCIÓN CON YANDEL / Bad bunny ft. Yandel,negative
150,@Jusweettbsl estoy de luto,positive
152,"@Joelito_Fonseca Cómo digas mi ""good vibes"" jajaja si no tienes fotos me imagino por algo será🤷🏽‍♂️🥱 se nota que ya eres mayor y sigues actuando como un triste pequeño no mayor de 10 años jajaja anda ve que te quita el celular tu mamá",positive
