,Text,Label
1,#BadBunny: Como dos gotas de agua: Joven se disfraza de Bad Bunny y causa tumulto en alfombra roja. https://t.co/3524SEangh,negative
36,"@alitomorenoc No mames, ya mejor lárgate del PRI y deja de estar hundiendo más al partido y su militancia con pendejadas como esta.
Con esto que propones ahora si sería legal que el CO esté armado hasta los dientes. Es la propuesta para una escalada armada sin sentido.",litigious
173,"Good MEWning ♥️🐼♥️
Un nuevo amanecer,un nuevo día,un nuevo desafío, pronto volarás a COREA 🙏♥️, feliz con usted Señor MEW SUPPASIT, vas ampliando tu horizonte la meta es el infinito ♥️🐼🙏💪💯🌞

MEW SUPPASIT ❤️🐼♥️
#มิวศุภศิษฏ์ 
@MSuppasit 
#MewSuppasit https://t.co/pW8r5vKIpq",positive
330,criminal por robarme el corazón https://t.co/OBobsQeFLd,litigious
455,"@isiupdates Pantera 
#IsiVives #IsiVivesCHILE #KCAMexico",positive
556,"Os quiero recordar y hacer saber a los que aún no tenéis conocimiento de ello, que en Andalucía se encuentra la principal empresa de juguetes sexuales de España, se llama Dream Love, ahí lo dejo...y muy a mí pesar. 😁😏",positive
572,@Orlando71156528 Y sin embargo un criminal de esa calaña esta libre?,litigious
702,@Fergus0055 No sería porque los tóxicos de xbox y hasta su misma prensa de xbox desinformaba diciendo que kojima se unía a xbox? Que no se notaba la mala intención en esas palabras pero si tu miras a donde te conviene..,positive
812,@loonalendaskk ahh q legal,litigious
823,"@JesusRCuevas @lopezobrador_ Pues no lamenta la muerte de miles de niños con cáncer, ni las mujeres con cáncer de mama, ni los más de 16 millones de personas que dejó sin el Seguro Popular (incluida mi hermana con cáncer de mama). @lopezobrador_ Es un psicópata perverso y cruel. 

¡Es negligencia criminal!",litigious
826,"@isidre_bafino @BeluLombardi__ ""Los otros no tienen ningún derecho a ordenar la vida de los demás"" 
No, no lo tienen. Ni yo, ni tú tenemos el poder, el deber, la moral o la capacidad legal para hacerlo.",litigious
881,"Felicidades a los trabajadores del sector del transporte que pese al criminal y genocida bloqueo económico y financiero impuesto por el gobierno de EEUU hacen todo lo posible por mantener sin mayores afectaciones la transportación de todo el pueblo, la alimentación y servicios. https://t.co/86of5WQxy0",litigious
916,"#Entérate| La Experticia de Verificación Legal de Vehículos, es realizada por funcionarios Dirección de Tránsito del #CPNB y el #Cicpc y consiste en constatar las condiciones físicas y legales de los seriales identificadores de un vehículo
- 
 #28Jun
#EncuentroALBADigital https://t.co/Ae9OJsmXCT",litigious
1082,me da igual las canciones que añadan mientras no quiten mi princesa star lost,negative
1123,@petrogustavo Bobo hp siempre serás un criminal hp,litigious
1260,"👉 ""Nicolás Maduro es un criminal, es un asesino y por eso lo denuncié ante la Corte Penal Internacional"", dijo Duque en referencia a la denuncia que presentó en 2017, cuando era senador, por presuntas violaciones de Derechos Humanos en Venezuela.",litigious
1261,"@Honduraslibre9 @AduanasHonduras @FaustoCalix @HCHTelevDigital @Qhubotvoficial @UneTvHn @diarioelheraldo @Conpoliticahn @prometeohn @sabiovallehn @Vivalibrehn @UNIDADHONDURAS @PamelaM20230690 Mejor debería dedicarse a cortar la gran mafia de corrupción que hay en Puerto Cortes, en sociedad criminal de las navieras, SAR y ENP. Dejan salir contenedores con cabezales sin código aduanero y sin haber realizado todas las gestiones de control. Evasión fiscal galopante.",litigious
